AGE,GENDER,CONDITION,ID,ID METRICS,RECALL,RECOGNITION,lesson,avg_RECALL,avg_RECOGNITION,apq11Shimmer,apq3Shimmer,apq5Shimmer,ddaShimmer,ddpJitter,HNR,localabsoluteJitter,localdbShimmer,localJitter,localShimmer,maxIntensity,maxPitch,meanF0Hz,meanIntensity,meanPitch,minIntensity,minPitch,ppq5Jitter,rapJitter,stdevF0Hz,type_of_feature
26,Female,1,sarah4,Sarah-4 Human,36%,100%,frikandel,37%,89%,-0.6016839569,-0.4671703672,-0.4359509154,-0.4671703672,-0.6847587645,-1.100277876,-0.4541771737,-0.5789052761,-0.5716089366,-0.576242892,-0.515822787,-0.5054255942,-0.7353420964,-0.6333018743,-0.4736124501,-0.4877754607,-0.4328813961,-0.5500824994,-0.6847587645,-0.5668806268,proximity
23,Female,2,Nash- Dec 11 16:30- Robot- Female,Nash- Dec 11 16_30- Robot- Female,16%,67%,frikandel,28%,50%,-0.3261918161,-0.6210115018,-0.6182473937,-0.6210115018,-0.6810812458,-0.7342958732,-0.7251879279,-0.6616231677,-0.6892562486,-0.6790387816,-0.4110639005,-0.3220150678,-0.5125404029,-0.5704522205,-0.4669884458,-0.4852565256,-0.5643002777,-0.6630855234,-0.6810812458,-0.4536114519,proximity
22,Male,2,Nash- Dec 11 17:30- Robot- Male,Nash- Dec 11 17_30- Robot- Male,36%,100%,frikandel,35%,83%,-0.3235523307,-0.7171917609,-0.4342801038,-0.7171917609,-0.637519962,-0.7334901744,-0.6301375497,-0.4060825233,-0.5586356151,-0.4142111462,-0.5203625677,-0.473034165,-0.4647666687,-0.6645095889,-0.384098277,-0.6340262065,-0.4347983056,-0.5160865423,-0.637519962,-0.4806244488,proximity
49,Female,1,Nash5,Nash5- Human,24%,67%,frikandel,21%,56%,-0.4394213371,-0.9845205857,-0.9025402845,-0.9845205857,-0.5088458483,-0.7007675291,-0.4463836967,-0.6102827585,-0.3939270641,-0.6879204596,-0.631545182,-0.4824908467,-0.6704613356,-0.5040247204,-0.5566053615,-0.4454476183,-0.6733874751,-0.5578554783,-0.5088458483,-0.3801291572,proximity
30,Male,2,Masha12,Masha12-Robot,24%,100%,frikandel,26%,100%,-0.3525804198,-0.3324597976,-0.3247964029,-0.3324597976,-0.3030074903,-0.7000097093,-0.290363361,-0.2288543485,-0.2404096929,-0.263302139,-0.5235482259,-0.4056165765,-0.519157027,-0.3820650588,-0.7280153776,-0.4546769343,-0.9370256819,-0.3045716501,-0.3030074903,-0.2960179443,proximity
25,Female,2,Sarah5,Sarah-5 Furhat,56%,100%,frikandel,39%,100%,-0.5270098417,-0.5061663227,-0.5315349322,-0.5061663227,-0.6504874851,-0.685229112,-0.3930080708,-0.4207395943,-0.5807970493,-0.4277414046,-0.3468930696,-0.4020090241,-0.6933377601,-0.5228286415,-0.6009798855,-0.4804998606,-0.362396169,-0.6268706681,-0.6504874851,-0.5238721895,proximity
23,Female,1,Masha11,Masha11-Human,20%,100%,frikandel,35%,89%,-0.3191389049,-0.3939186232,-0.4034032843,-0.3939186232,-0.720959695,-0.681967872,-0.4137772235,-0.3817916669,-0.5017023704,-0.3614076994,-0.6400169606,-0.5322296671,-0.5785996159,-0.5170004376,-0.6865435727,-0.5213137729,-0.4051840785,-0.6159127069,-0.720959695,-0.5327721863,proximity
24,Female,1,Sarah9,Sarah-9 Human,40%,67%,frikandel,32%,83%,-0.6376173112,-0.591774571,-0.6826519662,-0.591774571,-0.5268226706,-0.6652474325,-0.5121854504,-0.5868174784,-0.5760688591,-0.5190138229,-0.583551856,-0.4298355942,-0.5397695486,-0.6050646426,-0.6664885784,-0.7735144526,-0.3331092098,-0.4970174519,-0.5268226706,-0.2686866405,proximity
30,Female,1,Nash9,Nash9- Human,28%,67%,frikandel,40%,78%,-0.5234184764,-0.4782946183,-0.6490376215,-0.4782946183,-0.4886320228,-0.6609344403,-0.4723463616,-0.4958141541,-0.4998739633,-0.5321275409,-0.5053039504,-0.4109714202,-0.5570137975,-0.5027456699,-0.4130353276,-0.5388544623,-0.466918523,-0.4116967119,-0.4886320228,-0.4045031812,proximity
27,Female,2,Nash1,Nash1,4%,83%,frikandel,12%,67%,-0.4708584574,-0.5136735135,-0.4505854502,-0.5136735135,-0.5683568651,-0.6596187914,-0.4356914915,-0.6114819094,-0.4313918493,-0.6523650066,-0.5331777194,-0.4005813762,-0.4533504225,-0.4032994684,-0.4253430476,-0.3213088942,-0.3207248669,-0.5319631735,-0.5683568651,-0.3151712122,proximity
