AGE,GENDER,CONDITION,id,EXPERIMENT ID,lessons:interesting/boring,transitions:confusing/logical,fake/natural,machine-like/human-like,artificial/life-like,moving rigidly/moving elegantly,"
mechanical/organic",inert/interactive,stagnant/lively,animacy,"
anthropomorphism",lesson,transitions
26,Male,1,Nash-Dec 10 12:30- Human- Male,Nash-Dec 10 12_30- Human- Male,2,2,1,1,1,2,1,3,2,"0,35","0,25","0,4","0,4"
22,Male,1,Nash2,Nash2,3,3,5,5,5,3,4,5,5,"0,95","0,9","0,6","0,6"
27,Male,1,Dekel - 1,Dekel - 1,4,4,2,2,2,2,2,2,2,"0,4","0,4","0,8","0,8"
22,Male,1,Nash3,Nash3,3,2,3,4,2,3,4,4,4,"0,7","0,6","0,6","0,4"
54,Male,1,Nash4,Nash4- Human,4,5,4,4,5,4,4,3,4,"0,8","0,85","0,8",1
49,Female,1,Nash5,Nash5- Human,5,5,5,5,5,5,5,5,5,1,1,1,1
35,Male,1,Nash6,Nash6- Human,4,2,2,2,1,1,2,2,2,"0,35","0,3","0,8","0,4"
24,Female,1,Masha3,Masha3-Human,3,3,4,3,4,1,2,4,3,"0,65","0,6","0,6","0,6"
66,Male,1,Nash8,Nash8- Human,4,3,3,4,2,1,2,2,2,"0,4","0,5","0,8","0,6"
24,Female,1,Masha8,Masha8-Human,5,5,5,5,5,5,5,5,5,1,1,1,1
24,Male,1,Masha10,Masha10-Human,1,3,1,1,1,3,2,3,3,"0,45","0,3","0,2","0,6"
25,Female,1,dekel-4,dekel-4,2,4,2,1,1,1,1,2,2,"0,3","0,25","0,4","0,8"
23,Female,1,Masha11,Masha11-Human,3,1,4,4,4,3,4,2,4,"0,7","0,75","0,6","0,2"
26,Male,1,Dekel-6,Dekel-6,3,4,3,3,2,4,3,4,4,"0,65","0,6","0,6","0,8"
30,Male,1,Dekel-7,Dekel-7 Human,2,4,2,5,4,3,3,3,4,"0,7","0,7","0,4","0,8"
24,Female,1,dekel-8,Dekel-8 Human,5,5,4,5,5,4,5,5,4,"0,95","0,9",1,1
30,Female,1,Nash9,Nash9- Human,5,4,4,4,4,4,4,4,4,"0,8","0,8",1,"0,8"
58,Female,1,sarah 3,sarah 3,1,2,2,1,2,1,2,1,1,"0,3","0,3","0,2","0,4"
26,Female,1,sarah4,Sarah-4 Human,3,2,4,2,3,2,2,1,2,"0,4","0,55","0,6","0,4"
25,Female,1,Nash10,Nash10- Human,4,3,5,5,5,4,5,4,4,"0,9","0,95","0,8","0,6"
24,Female,1,Sarah6,Sarah-6 Human,4,3,3,2,4,2,3,2,3,"0,6","0,55","0,8","0,6"
24,Female,1,Sarah9,Sarah-9 Human,5,4,2,3,4,4,4,3,2,"0,65","0,65",1,"0,8"
24,Female,1,sarah13,Sarah-13 Human,2,4,2,5,4,2,4,3,2,"0,65","0,65","0,4","0,8"
23,Female,2,Nash- Dec 11 16:30- Robot- Female,Nash- Dec 11 16_30- Robot- Female,3,1,1,2,2,1,2,3,4,"0,55","0,3","0,6","0,2"
22,Male,2,Nash- Dec 11 17:30- Robot- Male,Nash- Dec 11 17_30- Robot- Male,5,4,2,2,2,2,1,2,2,"0,35","0,4",1,"0,8"
27,Female,2,Nash1,Nash1,4,2,2,2,2,3,2,3,3,"0,5","0,45","0,8","0,4"
22,Female,2,Dekel_2,Dekel-2 Furhat,3,5,2,2,2,1,2,3,2,"0,45","0,35","0,6",1
26,Male,2,Dekel/3,Dekel-3 Furhat,3,2,2,2,2,2,2,3,3,"0,5","0,4","0,6","0,4"
23,Female,2,Masha2,Masha2-Robot,4,3,3,3,3,2,3,4,4,"0,7","0,55","0,8","0,6"
23,Male,2,Masha5,Masha5-Robot,4,3,2,1,2,4,4,2,2,"0,5","0,45","0,8","0,6"
23,Female,2,Nash7,Nash7- Robot,3,4,2,3,3,4,3,3,5,"0,7","0,6","0,6","0,8"
24,Female,2,Masha4,Masha4-Robot,5,3,4,4,4,3,2,3,4,"0,65","0,75",1,"0,6"
