Experiment ID,feature,Proximity,Convergence,convergence_pvalue,p_corr(-15),p_corr(-15)_p_val,p_corr(-10),p_corr(-10)_p_val,p_corr(-5),p_corr(-5)_p_val,p_corr(0),p_corr(0)_p_val,p_corr(5),p_corr(5)_p_val,p_corr(10),p_corr(10)_p_val,p_corr(15),p_corr(15)_p_val
Masha12-Robot,meanF0Hz,-0.6425564957,0.4438992181,2.46E-27,-0.3824371263,1.26E-19,-0.3197911729,5.38E-14,-0.251116315,4.29E-09,-0.1961330967,4.67E-06,-0.1752978264,4.80E-05,-0.1539022784,0.0003914051639,-0.1340064292,0.002153542461
Masha12-Robot,stdevF0Hz,-0.247593599,-0.2013401814,2.56E-06,0.4417521559,2.41E-26,0.4197570723,6.59E-24,0.3948219744,2.73E-21,0.3620940078,4.43E-18,0.3484014596,1.25E-16,0.3202912474,4.89E-14,0.275818323,1.44E-10
Masha12-Robot,HNR,-1.066592873,-0.8073277944,1.19E-124,0.4754039591,8.61E-31,0.4585572365,9.22E-29,0.4521328424,3.65E-28,0.4370711827,1.84E-26,0.4401486613,1.29E-26,0.4416772803,1.42E-26,0.4433859533,1.50E-26
Masha12-Robot,localJitter,-0.4978430596,0.3625470425,4.00E-18,0.5741975688,4.10E-47,0.5646403895,1.05E-45,0.557704418,8.20E-45,0.5516573901,4.34E-44,0.5691963159,5.26E-47,0.5853678672,8.78E-50,0.6036553525,3.88E-53
Masha12-Robot,localabsoluteJitter,-0.5638135531,0.4317411941,8.58E-26,0.4240714478,3.36E-24,0.4457255469,4.36E-27,0.4735704448,4.31E-31,0.5026059449,1.02E-35,0.5398632991,1.42E-41,0.5747885537,1.15E-47,0.6115003534,7.54E-55
Masha12-Robot,rapJitter,-0.5002113218,0.335384436,1.39E-15,0.4596015074,1.22E-28,0.4446786142,5.93E-27,0.4396809447,1.48E-26,0.4386274868,1.17E-26,0.4512384789,4.78E-28,0.4631889466,2.20E-29,0.4785833778,3.08E-31
Masha12-Robot,ppq5Jitter,-0.361781862,0.2349407706,3.61E-08,0.5317493525,1.95E-39,0.5204616868,6.42E-38,0.510338047,1.28E-36,0.4973414042,6.72E-35,0.5055126584,7.43E-36,0.511510575,1.78E-36,0.5258265561,1.89E-38
Masha12-Robot,ddpJitter,-0.5002113218,0.335384436,1.39E-15,0.4596015074,1.22E-28,0.4446786142,5.93E-27,0.4396809447,1.48E-26,0.4386274868,1.17E-26,0.4512384789,4.78E-28,0.4631889466,2.20E-29,0.4785833778,3.08E-31
Masha12-Robot,localShimmer,-0.2757114555,0.1170028679,0.006640630548,0.5595981044,2.39E-44,0.5825785597,3.23E-49,0.6040076368,3.34E-54,0.6220342896,7.98E-59,0.6634136503,9.17E-69,0.6984053456,2.70E-78,0.7318182797,1.20E-88
Masha12-Robot,localdbShimmer,-0.2654811544,0.5565324248,5.35E-45,0.7178042298,8.38E-84,0.7316855896,1.97E-89,0.7442781764,5.67E-95,0.750165729,3.61E-98,0.7755496264,5.88E-108,0.7948728887,5.38E-116,0.8107225402,5.27E-123
Masha12-Robot,apq3Shimmer,-0.3604078161,0.06561597745,0.1288556991,0.6309322987,2.65E-59,0.6456368173,1.77E-63,0.6522647368,8.83E-66,0.6550596237,3.98E-67,0.6757813238,3.15E-72,0.6884046258,3.04E-75,0.6950808095,1.51E-76
Masha12-Robot,apq5Shimmer,-0.2750399359,0.1250713567,0.003696491065,0.5998294905,2.55E-52,0.6172531266,1.17E-56,0.6324330484,8.97E-61,0.6403191898,2.70E-63,0.672746787,2.31E-71,0.694767488,3.60E-77,0.710260959,2.57E-81
Masha12-Robot,apq11Shimmer,-0.4718024914,0.7030812163,2.99E-81,-0.2415608115,2.29E-08,-0.2313977519,7.76E-08,-0.2327190975,5.64E-08,-0.2650804694,4.36E-10,-0.3156121098,9.06E-14,-0.360799929,1.20E-17,-0.408815423,1.90E-22
Masha12-Robot,ddaShimmer,-0.3604078161,0.06561597745,0.1288556991,0.6309322987,2.65E-59,0.6456368173,1.77E-63,0.6522647368,8.83E-66,0.6550596237,3.98E-67,0.6757813238,3.15E-72,0.6884046258,3.04E-75,0.6950808095,1.51E-76
Masha12-Robot,meanPitch,-0.9296144078,-0.565994685,8.31E-47,-0.3287309047,1.28E-14,-0.2875929728,1.71E-11,-0.2403957192,1.97E-08,-0.2024705612,2.24E-06,-0.1947284859,6.06E-06,-0.1879047821,1.41E-05,-0.1826678669,2.68E-05
Masha12-Robot,maxPitch,-0.4984674312,0.5246273338,2.62E-39,-0.3871198231,4.15E-20,-0.3805388648,1.33E-19,-0.3734836515,4.71E-19,-0.3483244553,9.19E-17,-0.3630278379,5.13E-18,-0.3579700988,2.24E-17,-0.3518500657,1.17E-16
Masha12-Robot,minPitch,-1.231723792,-0.6095475814,6.15E-56,-0.4011460133,1.33E-21,-0.3812974886,1.11E-19,-0.353678228,4.04E-17,-0.3345607926,1.65E-15,-0.3204509058,3.60E-14,-0.3063596838,6.49E-13,-0.2922241444,9.78E-12
Masha12-Robot,meanIntensity,-0.5162711365,-0.2811024888,3.29E-11,-0.1345119639,0.00207085202,-0.1369409698,0.001626707792,-0.1101424314,0.01101532752,-0.1088003858,0.0116398844,-0.1148112555,0.008033053377,-0.1291778008,0.002969451804,-0.1500471206,0.0005829038289
Masha12-Robot,maxIntensity,-0.7703353094,0.3444170571,2.12E-16,0.07440491834,0.08946393728,0.0730959681,0.09368245142,0.05684955535,0.1904609164,0.04046227846,0.3493549232,0.05616763286,0.195842507,0.07472145922,0.08659028798,0.08883897247,0.04247055524
Masha12-Robot,minIntensity,-0.5615936085,-0.6840599898,2.49E-75,-0.5967178436,1.16E-51,-0.5828246664,2.88E-49,-0.564224198,4.79E-46,-0.5551632043,9.66E-45,-0.5602769495,2.69E-45,-0.564125814,1.31E-45,-0.5671023882,9.41E-46
Masha10-Human,meanF0Hz,-0.6334660437,-0.4937183056,7.92E-74,-0.02017909665,0.4904685867,-0.01863681765,0.5233347736,-0.01574218294,0.5890438764,-0.01825573866,0.5301208686,-0.01445307712,0.619909072,-0.00758998012,0.7949422686,0.001479636047,0.9596783137
Masha10-Human,stdevF0Hz,-0.5134144249,0.08704034342,0.002710518589,0.1327565555,5.21E-06,0.1347260972,3.58E-06,0.1336545932,4.09E-06,0.1308918892,6.17E-06,0.1294742023,8.13E-06,0.1235333322,2.17E-05,0.1116602434,0.0001295778654
Masha10-Human,HNR,-0.5333279703,-0.2238243847,6.40E-15,-0.01042393774,0.7217042072,-0.001746854176,0.9523026143,0.000247288693,0.9932295179,0.005001721563,0.8634392803,0.01509035715,0.6045623109,0.01472705945,0.6140448099,0.01321706808,0.6515357203
Masha10-Human,localJitter,-0.4868649408,-0.1147641337,7.51E-05,-0.07340560736,0.01201977892,-0.06265069767,0.03176290568,-0.04525186128,0.1202796482,-0.01513521882,0.6027206062,0.01420773065,0.6258622943,0.03370371009,0.2483348665,0.05227279779,0.07388649741
Masha10-Human,localabsoluteJitter,-0.486622705,0.05157550024,0.07594186996,-0.1839426757,2.31E-10,-0.1681706353,6.64E-09,-0.1450408452,5.63E-07,-0.1057921308,0.0002641162841,-0.0673526921,0.02067778312,-0.04552200862,0.1188630657,-0.02452161886,0.402031905
Masha10-Human,rapJitter,-0.4917249747,-0.1638441862,1.41E-08,0.003666151501,0.9003113419,0.02798520198,0.3378353421,0.05575280101,0.05553956103,0.0923334987,0.001463035486,0.1199790962,3.60E-05,0.1326843875,5.03E-06,0.143119928,8.85E-07
Masha10-Human,ppq5Jitter,-0.5539969306,-0.1458165519,4.63E-07,-0.1276888625,1.18E-05,-0.1265317449,1.36E-05,-0.1245007023,1.80E-05,-0.1162865003,6.01E-05,-0.1133543775,9.53E-05,-0.115072401,7.70E-05,-0.1133902898,0.0001015154596
Masha10-Human,ddpJitter,-0.4917249747,-0.1638441862,1.41E-08,0.003666151501,0.9003113419,0.02798520198,0.3378353421,0.05575280101,0.05553956103,0.0923334987,0.001463035486,0.1199790962,3.60E-05,0.1326843875,5.03E-06,0.143119928,8.85E-07
Masha10-Human,localShimmer,-0.6428887394,-0.1037237034,0.0003482929369,-0.2387037917,1.27E-16,-0.240925289,5.60E-17,-0.2384810564,1.01E-16,-0.228826678,1.53E-15,-0.2149503464,8.43E-14,-0.1945115789,1.76E-11,-0.1689433495,6.08E-09
Masha10-Human,localdbShimmer,-0.6584028053,0.02638745343,0.3641125535,-0.2252065321,6.42E-15,-0.2321446059,7.67E-16,-0.2356992514,2.33E-16,-0.2347070725,2.71E-16,-0.2307178378,1.01E-15,-0.2169627129,5.52E-14,-0.1985967012,7.17E-12
Masha10-Human,apq3Shimmer,-0.4640401744,-0.1306617685,6.41E-06,0.0253484914,0.3863452909,0.03547816815,0.2242827623,0.04961565466,0.08845647015,0.06734961666,0.02041576574,0.08014202324,0.005878500427,0.09448853264,0.00118397143,0.1098710502,0.0001661787175
Masha10-Human,apq5Shimmer,-0.4879012394,0.2034208677,1.56E-12,-0.05092109639,0.08167705002,-0.0667988219,0.02202890782,-0.08817153074,0.002433522306,-0.1112483279,0.0001243088749,-0.1263657824,1.34E-05,-0.1196287767,3.94E-05,-0.09669660418,0.0009271086856
Masha10-Human,apq11Shimmer,-0.4437272913,0.07499052498,0.009812335658,0.3746670062,2.68E-40,0.3758623228,9.91E-41,0.373774639,1.99E-40,0.3693222058,1.33E-39,0.3611122433,1.16E-37,0.3466095133,1.67E-34,0.3343096003,6.05E-32
Masha10-Human,ddaShimmer,-0.4640401744,-0.1306617685,6.41E-06,0.0253484914,0.3863452909,0.03547816815,0.2242827623,0.04961565466,0.08845647015,0.06734961666,0.02041576574,0.08014202324,0.005878500427,0.09448853264,0.00118397143,0.1098710502,0.0001661787175
Masha10-Human,meanPitch,-0.6950179198,-0.6947380795,1.66E-171,-0.1939328339,2.23E-11,-0.1832209286,2.49E-10,-0.1728996428,2.26E-09,-0.1650014715,1.11E-08,-0.1625140943,1.98E-08,-0.1638888254,1.60E-08,-0.1660895261,1.10E-08
Masha10-Human,maxPitch,-0.5138449671,-0.4233003592,1.03E-52,-0.0457261779,0.1180004408,-0.04639231384,0.1119674936,-0.04649959262,0.1103807401,-0.04802555451,0.09844646696,-0.04715262291,0.1054624032,-0.05986086696,0.04021019636,-0.08187302841,0.005075532281
