Age,Gender,Condition,Experiment ID,feature,Proximity,Convergence,convergence_pvalue,p_corr(-15),p_corr(-15)_p_val,p_corr(-10),p_corr(-10)_p_val,p_corr(-5),p_corr(-5)_p_val,p_corr(0),p_corr(0)_p_val,p_corr(5),p_corr(5)_p_val,p_corr(10),p_corr(10)_p_val,p_corr(15),p_corr(15)_p_val
27,Female,2,Nash1,meanF0Hz,-0.5101632864,0.5691402354999999,7.519999999999999e-111,-0.23899988390000002,6.660000000000001e-18,-0.24404777239999997,1.09e-18,-0.2511260752,8.39e-20,-0.2633379583,9.19e-22,-0.270803762,6.96e-23,-0.26384544190000003,1.1e-21,-0.2556882989,2.4e-20
27,Female,2,Nash1,stdevF0Hz,-0.477339495,-0.1986037414,7.340000000000001e-13,0.19594535079999997,2.02e-12,0.18268617410000001,5.31e-11,0.16936603879999998,1.14e-09,0.163562381,3.91e-09,0.1684487902,1.4099999999999999e-09,0.1735286905,4.73e-10,0.1828734801,5.54e-11
27,Female,2,Nash1,HNR,-0.6248396905,-0.5260818125,4.329999999999999e-92,-0.6426778001,2.0199999999999996e-148,-0.6320010824,1.1199999999999998e-142,-0.6178158065,3.579999999999999e-135,-0.6104416784000001,1.1899999999999997e-131,-0.6105940625,3.159999999999999e-131,-0.6101518363,1.7599999999999996e-130,-0.6063664543999999,5.749999999999998e-128
27,Female,2,Nash1,localJitter,-0.4199023767,-0.18970439329999997,7.63e-12,0.052644815430000005,0.061123935899999995,0.07800672538,0.0053937043539999995,0.1052403985,0.00016582715560000002,0.1290651313,3.58e-06,0.1435877642,2.59e-07,0.15109102900000002,6.22e-08,0.16016077439999998,1e-08
27,Female,2,Nash1,localabsoluteJitter,-0.4410970611,0.11602185890000001,3.15e-05,0.1099765614,8.809999999999999e-05,0.1209662541,1.53e-05,0.1372658125,8.58e-07,0.1538574651,3.12e-08,0.1596211183,9.86e-09,0.1596704364,1.04e-08,0.16408125140000002,4.3e-09
27,Female,2,Nash1,rapJitter,-0.5389906432,-0.07089693786000001,0.011142626999999999,-0.18083125760000002,9.09e-11,-0.1676748666,1.8e-09,-0.1535568242,3.54e-08,-0.1446554993,2e-07,-0.14176761529999998,3.6799999999999996e-07,-0.140909529,4.56e-07,-0.13728462730000002,9.43e-07
27,Female,2,Nash1,ppq5Jitter,-0.535306857,-0.159742101,8.99e-09,-0.2662396083,5.52e-22,-0.2557798321,1.96e-20,-0.2453304614,6.05e-19,-0.24005633199999998,3.0099999999999998e-18,-0.2372668319,8.69e-18,-0.2359968838,1.52e-17,-0.2238915272,7.570000000000001e-16
27,Female,2,Nash1,ddpJitter,-0.5389906432,-0.07089693786000001,0.011142626999999999,-0.18083125760000002,9.09e-11,-0.1676748666,1.8e-09,-0.1535568242,3.54e-08,-0.1446554993,2e-07,-0.14176761529999998,3.6799999999999996e-07,-0.140909529,4.56e-07,-0.13728462730000002,9.43e-07
27,Female,2,Nash1,localShimmer,-0.6769933965,-0.06689232295,0.01664339855,-0.41808671799999997,9.879999999999999e-55,-0.4110034852,5.579999999999999e-53,-0.4061349353,7.43e-52,-0.4059751454,5.22e-52,-0.4075591099,3.0599999999999997e-52,-0.40903515170000004,1.9199999999999997e-52,-0.41134376840000003,7.1700000000000005e-53
27,Female,2,Nash1,localdbShimmer,-0.638613223,0.008629334962000001,0.7576583226000001,-0.37781198689999995,3.15e-44,-0.3750762842,9.87e-44,-0.3714996457,4.91e-43,-0.3724895677,1.95e-43,-0.37526709399999997,6.059999999999999e-44,-0.37614338189999996,5.45e-44,-0.3753387023,1.25e-43
