Age,Gender,Condition,Experiment ID,animacy,anthropomorphism,lesson,transitions,recall,recognition,p_corr_0_meanF0Hz,Proximity_meanF0Hz,Convergence_meanF0Hz,p_corr_0_stdevF0Hz,Proximity_stdevF0Hz,Convergence_stdevF0Hz,p_corr_0_HNR,Proximity_HNR,Convergence_HNR,p_corr_0_localJitter,Proximity_localJitter,Convergence_localJitter,p_corr_0_localabsoluteJitter,Proximity_localabsoluteJitter,Convergence_localabsoluteJitter,p_corr_0_rapJitter,Proximity_rapJitter,Convergence_rapJitter,p_corr_0_ppq5Jitter,Proximity_ppq5Jitter,Convergence_ppq5Jitter,p_corr_0_ddpJitter,Proximity_ddpJitter,Convergence_ddpJitter,p_corr_0_localShimmer,Proximity_localShimmer,Convergence_localShimmer,p_corr_0_localdbShimmer,Proximity_localdbShimmer,Convergence_localdbShimmer,p_corr_0_apq3Shimmer,Proximity_apq3Shimmer,Convergence_apq3Shimmer,p_corr_0_apq5Shimmer,Proximity_apq5Shimmer,Convergence_apq5Shimmer,p_corr_0_apq11Shimmer,Proximity_apq11Shimmer,Convergence_apq11Shimmer,p_corr_0_ddaShimmer,Proximity_ddaShimmer,Convergence_ddaShimmer,p_corr_0_meanPitch,Proximity_meanPitch,Convergence_meanPitch,p_corr_0_maxPitch,Proximity_maxPitch,Convergence_maxPitch,p_corr_0_minPitch,Proximity_minPitch,Convergence_minPitch,p_corr_0_meanIntensity,Proximity_meanIntensity,Convergence_meanIntensity,p_corr_0_maxIntensity,Proximity_maxIntensity,Convergence_maxIntensity,p_corr_0_minIntensity,Proximity_minIntensity,Convergence_minIntensity
22,Female,2,Dekel-2 Furhat,0.45,0.35,0.6,1,0.3074242424,0.7777777778,-0.1228548099,-0.4697469321,0.07698502068,0.1969149386,-0.4535792051,-0.166252225,-0.3633232851,-0.5611640292,-0.210949833,0.1176259989,-0.4971222271,-0.3667312941,0.2810691576,-0.4190786692,-0.3936457781,0.2646480476,-0.4727501956,-0.2462795422,-0.154987831,-0.5756207953,-0.2603294803,0.2646480476,-0.4727501956,-0.2462795422,0.01783136297,-0.526222317,-0.06744116642,0.2169346241,-0.5031419666,0.06761284599,-0.1906059879,-0.5179145328,0.2746907579,0.2088698959,-0.4185092247,-0.1307073207,0.1660222349,-0.3701848922,0.4888045809,-0.1906059879,-0.5179145328,0.2746907579,-0.1584578962,-0.5000052243,0.01597240809,-0.330495006,-0.44097031,-0.4697146107,-0.2910416603,-0.4103195878,0.123869613,-0.2077122385,-0.4495640845,0.3481686808,-0.2869196415,-0.5193896245,0.3569197597,0.2295418963,-0.3767862212,-0.3957881234
26,Male,2,Dekel-3 Furhat,0.5,0.4,0.6,0.4,0.2546212121,0.7222222222,-0.5571678489,-0.667368158,-0.163114575,0.3719269977,-0.5085185828,0.2056532753,0.1656432295,-0.5573762914,-0.3380704198,-0.4420076369,-0.6348178218,-0.3519234455,-0.4138064537,-0.5654223497,-0.0228976434,-0.2069721086,-0.5650930629,-0.4325021412,-0.3675358984,-0.6174246783,-0.322625239,-0.2069721086,-0.5650930629,-0.4325021412,-0.3111353999,-0.6254036912,-0.08275553083,-0.3440659071,-0.6162109432,-0.2636634911,-0.6478489698,-0.6687352175,-0.3349597566,-0.7270134584,-0.5919883122,-0.3466997589,-0.03780264437,-0.3403931487,0.07395089692,-0.6478489698,-0.6687352175,-0.3349597566,0.1702409122,-0.4365766965,-0.6633013564,0.423983773,-0.3432318158,0.2334140962,0.2148775287,-0.3607838094,-0.7508302192,-0.4875841325,-0.6160587012,-0.03799653929,0.3466579922,-0.5290281238,0.5875138515,-0.4938625413,-0.3789453373,0.4591193271
27,Male,2,Dekel-5,0.5,0.6,0.6,0.8,0.2951893939,0.7222222222,0.1634912925,-0.4819893531,-0.1852355001,0.00147274911,-0.4841955321,0.6791177334,0.1520309205,-0.6024347336,-0.07034167225,0.2619625672,-0.468197939,-0.02013535798,-0.001609903136,-0.492764937,-0.0960095745,0.1748525959,-0.5069835953,0.2362852284,0.2036441688,-0.5757122949,0.3363198756,0.1748525959,-0.5069835953,0.2362852284,0.09345188983,-0.6171236373,0.5329697778,0.04142173369,-0.6357233052,0.5561440745,-0.2443431601,-0.6281520379,0.5345390449,0.2170490711,-0.50966658,0.3254994914,0.2535397831,-0.4497107257,0.6320368195,-0.2443431601,-0.6281520379,0.5345390449,-0.0931095014,-0.4538302859,-0.054035994,0.1377504248,-0.4535867511,0.1586574546,0.1651153024,-0.5828079918,0.06152529269,-0.2445928825,-0.4258774839,-0.0744669463,0.1500144774,-0.4865285234,-0.07093511552,0.1569908918,-0.4218413472,-0.7472069251
26,Male,1,Dekel-6,0.65,0.6,0.6,0.8,0.2553409091,0.9444444444,-0.1042541828,-0.4452203266,-0.2656708519,-0.1657642019,-0.4315689903,0.5541806307,-0.3526507439,-0.6187080217,-0.1884593881,-0.08402114322,-0.5168642663,0.1604566919,-0.05085229433,-0.5045382211,0.3175634818,0.004434077003,-0.5833963182,0.2817288089,-0.1223585185,-0.5639228469,0.4562873477,0.004434077003,-0.5833963182,0.2817288089,0.3837409267,-0.4334955065,0.3316493043,0.4969666287,-0.3980012416,0.2713849459,0.1034276278,-0.5206684966,0.6590670207,0.3303323352,-0.3431574467,0.3212892415,0.1496416308,-0.3688496889,0.6467015976,0.1034276278,-0.5206684966,0.6590670207,-0.1998144097,-0.420594332,0.3787953094,-0.1622135133,-0.3738633145,0.05252533554,-0.2272942654,-0.4156202568,0.2955282871,-0.2440078146,-0.4260212298,-0.554279275,0.167965083,-0.4364225044,0.0008907610519,-0.2052124509,-0.5060422692,0.1267467661
30,Male,1,Dekel-7 Human,0.7,0.7,0.4,0.8,0.1147348485,0.8333333333,-0.2910381017,-0.4849959205,0.03844603847,-0.1302526487,-0.4386262495,0.3821403732,0.1151295697,-0.4966222897,0.5572319214,0.6076826565,-0.3370581524,0.138139231,0.5666082858,-0.398537522,-0.3800200366,0.4201106234,-0.4011847777,-0.1271828993,0.4717973525,-0.4268338084,-0.2102609705,0.4201106234,-0.4011847777,-0.1271828993,0.1778241822,-0.4617272948,0.4216017507,0.1233003075,-0.4549163541,0.348249787,0.1221424852,-0.4167348208,0.5932520546,-0.2074763415,-0.5498555856,-0.1220491595,0.1628737875,-0.3868614321,0.275451004,0.1221424852,-0.4167348208,0.5932520546,-0.2545637457,-0.436383573,0.2158313395,-0.1942501993,-0.5458182625,0.04218150611,-0.3107629845,-0.3485049025,0.2616356478,-0.5357990907,-0.5778399807,-0.2380884941,0.009726746553,-0.4810085111,0.07090843123,-0.3562899783,-0.534888212,-0.2983465996
24,Female,1,Dekel-8 Human,0.95,0.9,1,1,0.2865909091,0.9444444444,0.08998396882,-0.4435305834,0.622293216,-0.3432849431,-0.6356576983,0.006174370527,-0.2205564883,-0.6021761306,-0.2204711718,-0.2802267272,-0.582575505,0.1489375176,-0.1611322716,-0.5353610169,0.3721073027,-0.467683893,-0.6767660546,0.1603496084,-0.4245968533,-0.6947597586,0.1260840486,-0.467683893,-0.6767660546,0.1603496084,-0.1135795681,-0.5878525047,0.3296773118,-0.1627061396,-0.5787229545,0.2663461724,-0.1840865241,-0.6580821084,0.383821648,-0.08754525644,-0.5658174842,0.2087220527,-0.06937742387,-0.4706422853,0.4254114843,-0.1840865241,-0.6580821084,0.383821648,-0.2225714137,-0.4545121348,0.4668668436,-0.3258422014,-0.6078434698,-0.1450257118,-0.1874494913,-0.4419085098,0.614122438,-0.07873811387,-0.4752088159,-0.1882574099,0.01957881941,-0.5162425125,-0.03879397042,-0.2489227709,-0.5136141965,-0.3619854838
24,Male,1,Masha10-Human,0.45,0.3,0.2,0.6,0.1896212121,0.7222222222,-0.01335786069,-0.5313520203,-0.5027008793,0.06333772859,-0.4702009836,0.1543296866,-0.05948818658,-0.5569052311,-0.2521520643,-0.03128584427,-0.4209231135,-0.4557200562,-0.0699004703,-0.4353023693,-0.2399765797,0.1125703233,-0.429152587,-0.4771601184,-0.2769526344,-0.5185315738,-0.1875444688,0.1125703233,-0.429152587,-0.4771601184,-0.2227028657,-0.5087398681,-0.3245130967,-0.1986515763,-0.4844423391,-0.1757201926,0.1113579857,-0.3592426651,-0.3368574266,-0.08687120325,-0.4723479494,0.3244810022,0.3160306286,-0.4233380461,0.02817150197,0.1113579857,-0.3592426651,-0.3368574266,-0.2194456336,-0.5641693432,-0.6899412594,-0.1007489127,-0.4406115329,-0.4932075123,0.2229039984,-0.3441589383,0.1922639494,0.213802231,-0.5438061283,-0.2602311681,0.324325162,-0.4455439527,0.1905233392,0.294529911,-0.4267255179,-0.5002144848
23,Female,1,Masha11-Human,0.7,0.75,0.6,0.2,0.3488636364,0.8888888889,0.09556153595,-0.5785996159,-0.3038804111,-0.04932305532,-0.5327721863,0.2441322562,-0.1064552479,-0.681967872,0.1380571121,0.2028760113,-0.5017023704,0.1455602593,0.3747717114,-0.4137772235,0.2871950252,-0.194919944,-0.720959695,0.1157691188,-0.109764971,-0.6159127069,0.1112093376,-0.194919944,-0.720959695,0.1157691188,0.2809385283,-0.3614076994,-0.4183950074,0.2996894212,-0.3817916669,-0.2216958244,0.1892455256,-0.3939186232,-0.3416658428,0.1261991898,-0.4034032843,-0.1115261758,0.5488254378,-0.3191389049,-0.3637094346,0.1892455256,-0.3939186232,-0.3416658428,-0.2019913153,-0.6865435727,-0.1444962976,-0.1694816599,-0.5322296671,0.1671017322,-0.2063273138,-0.4051840785,-0.2806445869,-0.6702000749,-0.5170004376,0.03259746998,-0.2699603711,-0.6400169606,0.2098679617,-0.6140469361,-0.5213137729,0.103516441
30,Male,2,Masha12-Robot,0.4,0.35,0.8,0.4,0.2599242424,1,-0.1802381244,-0.519157027,0.6137038618,0.2598043926,-0.2960179443,-0.08462342343,0.6077762242,-0.7000097093,-0.8396901978,0.7384513883,-0.2404096929,-0.04095027798,0.5812333748,-0.290363361,0.0268210824,0.5894730743,-0.3030074903,0.5359157504,0.6365969385,-0.3045716501,-0.4992381697,0.5894730743,-0.3030074903,0.5359157504,0.6453759253,-0.263302139,0.1758195339,0.748978364,-0.2288543485,0.5836747221,0.7067581343,-0.3324597976,0.2341754353,0.6508452951,-0.3247964029,0.1840067884,-0.3575038203,-0.3525804198,0.7745717887,0.7067581343,-0.3324597976,0.2341754353,-0.2153809448,-0.7280153776,-0.3028176832,-0.3400601076,-0.4056165765,0.6902965429,-0.3627850629,-0.9370256819,-0.2800911395,-0.3624644854,-0.3820650588,-0.5802928405,-0.04138637729,-0.5235482259,0.5748703736,-0.7540911624,-0.4546769343,-0.6855470006
24,Male,2,Masha13-Robot,0.65,0.55,0.6,0.6,0.2761742424,0.9444444444,0.07949346496,-0.2655664025,0.4684722581,0.6554810975,-0.4338737564,0.5213380579,0.5905732906,-0.3608720031,-0.390850815,0.3216911843,-0.352086816,0.05330543116,0.1156665163,-0.3929637748,-0.8323604911,-0.07505776982,-0.4606489534,0.4972252056,0.1190577213,-0.4061968995,-0.9143747521,-0.07505776982,-0.4606489534,0.4972252056,0.6040811403,-0.3598714296,0.5817293658,0.3698013706,-0.4754271033,0.8067506788,0.5948402909,-0.3713719847,0.1311005458,0.6144737484,-0.3403392332,0.05128738123,-0.593099281,-0.3748682973,0.4776385071,0.5948402909,-0.3713719847,0.1311005458,0.4696078551,-0.2936745868,-0.2886966913,0.5414472451,-0.3670681526,0.4590159695,0.751755867,-0.4805604689,-0.2405721765,-0.5367354578,-0.459464358,0.4164089316,0.2630732325,-0.7811926143,0.8757312069,0.7456795627,-0.3593406087,-0.1170883468
