Age,Gender,Condition,Experiment ID,animacy,anthropomorphism,lesson,transitions,recall,recognition,p_corr_0_meanF0Hz,Proximity_meanF0Hz,Convergence_meanF0Hz,p_corr_0_stdevF0Hz,Proximity_stdevF0Hz,Convergence_stdevF0Hz,p_corr_0_HNR,Proximity_HNR,Convergence_HNR,p_corr_0_localJitter,Proximity_localJitter,Convergence_localJitter,p_corr_0_localabsoluteJitter,Proximity_localabsoluteJitter,Convergence_localabsoluteJitter,p_corr_0_rapJitter,Proximity_rapJitter,Convergence_rapJitter,p_corr_0_ppq5Jitter,Proximity_ppq5Jitter,Convergence_ppq5Jitter,p_corr_0_ddpJitter,Proximity_ddpJitter,Convergence_ddpJitter,p_corr_0_localShimmer,Proximity_localShimmer,Convergence_localShimmer,p_corr_0_localdbShimmer,Proximity_localdbShimmer,Convergence_localdbShimmer,p_corr_0_apq3Shimmer,Proximity_apq3Shimmer,Convergence_apq3Shimmer,p_corr_0_apq5Shimmer,Proximity_apq5Shimmer,Convergence_apq5Shimmer,p_corr_0_apq11Shimmer,Proximity_apq11Shimmer,Convergence_apq11Shimmer,p_corr_0_ddaShimmer,Proximity_ddaShimmer,Convergence_ddaShimmer,p_corr_0_meanPitch,Proximity_meanPitch,Convergence_meanPitch,p_corr_0_maxPitch,Proximity_maxPitch,Convergence_maxPitch,p_corr_0_minPitch,Proximity_minPitch,Convergence_minPitch,p_corr_0_meanIntensity,Proximity_meanIntensity,Convergence_meanIntensity,p_corr_0_maxIntensity,Proximity_maxIntensity,Convergence_maxIntensity,p_corr_0_minIntensity,Proximity_minIntensity,Convergence_minIntensity
22,Female,2,Dekel-2 Furhat,0.45,0.35,0.6,1,0.3074242424,0.7777777778,-0.1228548099,-0.4697469321,0.07698502068,0.1969149386,-0.4535792051,-0.166252225,-0.3633232851,-0.5611640292,-0.210949833,0.1176259989,-0.4971222271,-0.3667312941,0.2810691576,-0.4190786692,-0.3936457781,0.2646480476,-0.4727501956,-0.2462795422,-0.154987831,-0.5756207953,-0.2603294803,0.2646480476,-0.4727501956,-0.2462795422,0.01783136297,-0.526222317,-0.06744116642,0.2169346241,-0.5031419666,0.06761284599,-0.1906059879,-0.5179145328,0.2746907579,0.2088698959,-0.4185092247,-0.1307073207,0.1660222349,-0.3701848922,0.4888045809,-0.1906059879,-0.5179145328,0.2746907579,-0.1584578962,-0.5000052243,0.01597240809,-0.330495006,-0.44097031,-0.4697146107,-0.2910416603,-0.4103195878,0.123869613,-0.2077122385,-0.4495640845,0.3481686808,-0.2869196415,-0.5193896245,0.3569197597,0.2295418963,-0.3767862212,-0.3957881234
26,Male,2,Dekel-3 Furhat,0.5,0.4,0.6,0.4,0.2546212121,0.7222222222,-0.5571678489,-0.667368158,-0.163114575,0.3719269977,-0.5085185828,0.2056532753,0.1656432295,-0.5573762914,-0.3380704198,-0.4420076369,-0.6348178218,-0.3519234455,-0.4138064537,-0.5654223497,-0.0228976434,-0.2069721086,-0.5650930629,-0.4325021412,-0.3675358984,-0.6174246783,-0.322625239,-0.2069721086,-0.5650930629,-0.4325021412,-0.3111353999,-0.6254036912,-0.08275553083,-0.3440659071,-0.6162109432,-0.2636634911,-0.6478489698,-0.6687352175,-0.3349597566,-0.7270134584,-0.5919883122,-0.3466997589,-0.03780264437,-0.3403931487,0.07395089692,-0.6478489698,-0.6687352175,-0.3349597566,0.1702409122,-0.4365766965,-0.6633013564,0.423983773,-0.3432318158,0.2334140962,0.2148775287,-0.3607838094,-0.7508302192,-0.4875841325,-0.6160587012,-0.03799653929,0.3466579922,-0.5290281238,0.5875138515,-0.4938625413,-0.3789453373,0.4591193271
27,Male,2,Dekel-5,0.5,0.6,0.6,0.8,0.2951893939,0.7222222222,0.1634912925,-0.4819893531,-0.1852355001,0.00147274911,-0.4841955321,0.6791177334,0.1520309205,-0.6024347336,-0.07034167225,0.2619625672,-0.468197939,-0.02013535798,-0.001609903136,-0.492764937,-0.0960095745,0.1748525959,-0.5069835953,0.2362852284,0.2036441688,-0.5757122949,0.3363198756,0.1748525959,-0.5069835953,0.2362852284,0.09345188983,-0.6171236373,0.5329697778,0.04142173369,-0.6357233052,0.5561440745,-0.2443431601,-0.6281520379,0.5345390449,0.2170490711,-0.50966658,0.3254994914,0.2535397831,-0.4497107257,0.6320368195,-0.2443431601,-0.6281520379,0.5345390449,-0.0931095014,-0.4538302859,-0.054035994,0.1377504248,-0.4535867511,0.1586574546,0.1651153024,-0.5828079918,0.06152529269,-0.2445928825,-0.4258774839,-0.0744669463,0.1500144774,-0.4865285234,-0.07093511552,0.1569908918,-0.4218413472,-0.7472069251
30,Male,2,Masha12-Robot,0.4,0.35,0.8,0.4,0.2599242424,1,-0.1802381244,-0.519157027,0.6137038618,0.2598043926,-0.2960179443,-0.08462342343,0.6077762242,-0.7000097093,-0.8396901978,0.7384513883,-0.2404096929,-0.04095027798,0.5812333748,-0.290363361,0.0268210824,0.5894730743,-0.3030074903,0.5359157504,0.6365969385,-0.3045716501,-0.4992381697,0.5894730743,-0.3030074903,0.5359157504,0.6453759253,-0.263302139,0.1758195339,0.748978364,-0.2288543485,0.5836747221,0.7067581343,-0.3324597976,0.2341754353,0.6508452951,-0.3247964029,0.1840067884,-0.3575038203,-0.3525804198,0.7745717887,0.7067581343,-0.3324597976,0.2341754353,-0.2153809448,-0.7280153776,-0.3028176832,-0.3400601076,-0.4056165765,0.6902965429,-0.3627850629,-0.9370256819,-0.2800911395,-0.3624644854,-0.3820650588,-0.5802928405,-0.04138637729,-0.5235482259,0.5748703736,-0.7540911624,-0.4546769343,-0.6855470006
24,Male,2,Masha13-Robot,0.65,0.55,0.6,0.6,0.2761742424,0.9444444444,0.07949346496,-0.2655664025,0.4684722581,0.6554810975,-0.4338737564,0.5213380579,0.5905732906,-0.3608720031,-0.390850815,0.3216911843,-0.352086816,0.05330543116,0.1156665163,-0.3929637748,-0.8323604911,-0.07505776982,-0.4606489534,0.4972252056,0.1190577213,-0.4061968995,-0.9143747521,-0.07505776982,-0.4606489534,0.4972252056,0.6040811403,-0.3598714296,0.5817293658,0.3698013706,-0.4754271033,0.8067506788,0.5948402909,-0.3713719847,0.1311005458,0.6144737484,-0.3403392332,0.05128738123,-0.593099281,-0.3748682973,0.4776385071,0.5948402909,-0.3713719847,0.1311005458,0.4696078551,-0.2936745868,-0.2886966913,0.5414472451,-0.3670681526,0.4590159695,0.751755867,-0.4805604689,-0.2405721765,-0.5367354578,-0.459464358,0.4164089316,0.2630732325,-0.7811926143,0.8757312069,0.7456795627,-0.3593406087,-0.1170883468
22,Female,2,Masha14-Robot,0.7,0.55,1,0.8,0.4345454545,1,0.02723205536,-0.4421886951,0.4396186814,0.2677954454,-0.3527008045,-0.1506409908,0.3552145734,-0.3475219051,-0.4315105856,0.6225096048,-0.2648805716,0.0290565078,0.6818058184,-0.2661338683,0.5770621282,0.4014911585,-0.2545735021,0.405879793,0.7015326952,-0.2517473921,-0.3555676325,0.4014911585,-0.2545735021,0.405879793,0.2542303533,-0.3960560515,-0.007283695185,0.4640630252,-0.3280746363,0.04190551299,0.3990539893,-0.3810955941,0.04269488361,0.1419601173,-0.4761891876,-0.2336077767,0.4137242309,-0.311106521,0.3127488854,0.3990539893,-0.3810955941,0.04269488361,0.1988396914,-0.4508417047,0.004916465158,0.08928394381,-0.355527711,0.2030969305,0.2922922244,-0.3997804489,0.07127826788,-0.08558005265,-0.4002046121,-0.2173050373,0.3056593701,-0.433313961,0.04487173939,-0.1566583864,-0.4204159506,-0.01563704031
23,Female,2,Masha2-Robot,0.7,0.55,0.8,0.6,0.2948106061,0.8333333333,0.2929850573,-0.3025160573,0.2103312526,0.2733423933,-0.368132535,0.009196290145,0.2208624081,-0.486479424,-0.5234294818,0.2982619381,-0.478168427,-0.2546634949,0.4764051297,-0.4249139529,0.03304337836,0.2875526922,-0.432953447,-0.2065302043,0.3678284353,-0.4347124686,-0.06245701998,0.2875526922,-0.432953447,-0.2065302043,0.02562390739,-0.3817597225,0.1945553882,0.05501411912,-0.3730310182,0.1850890027,-0.04001935852,-0.3488704748,0.1979904419,0.343043799,-0.3343417108,0.2648800515,-0.06309781898,-0.4249720048,0.0445460306,-0.04001935852,-0.3488704748,0.1979904419,-0.04323822724,-0.3215500803,0.02330659762,-0.09511420079,-0.4217870312,0.1380561397,-0.2131079744,-0.4955951751,0.1492752003,-0.1072481199,-0.4927812954,-0.02275286615,-0.1679649517,-0.4474061601,-0.2019029522,-0.3556152692,-0.5208167814,-0.0280158701
24,Female,2,Masha4-Robot,0.65,0.75,1,0.6,0.3103409091,0.7777777778,-0.2335103449,-0.5100553229,-0.02497351775,-0.102481867,-0.4565817752,-0.1243865651,-0.03720069624,-0.4791440567,0.1935034911,0.1107494443,-0.3872061008,0.4869260061,-0.2962032513,-0.534356585,0.3794025113,-0.002438570477,-0.4256091693,0.2717548261,0.2616546005,-0.3941519286,0.3236607441,-0.002438570477,-0.4256091693,0.2717548261,0.01753062482,-0.3471209053,-0.4895558433,-0.1207666716,-0.3527635211,-0.443241517,-0.001747529855,-0.3381312655,-0.5151452757,0.1310092379,-0.4500696153,-0.2884575586,0.197844216,-0.3607862615,-0.3042090559,-0.001747529855,-0.3381312655,-0.5151452757,-0.321214593,-0.5786990738,0.1198357967,-0.04749194799,-0.5274852482,-0.04853986121,0.009721335556,-0.4149163038,0.3271605674,-0.0174920594,-0.5419133176,-0.321202021,-0.01994405172,-0.5060859063,-0.1521282832,-0.1040520517,-0.4816693916,0.2736989893
23,Male,2,Masha5-Robot,0.5,0.45,0.8,0.6,0.3804924242,0.8888888889,0.1544472134,-0.371592324,-0.09267533703,-0.03267188128,-0.3852703753,-0.2207866347,-0.3225292224,-0.5101706406,-0.4887704522,0.3050506219,-0.3741319353,-0.2853439538,0.3281652267,-0.386665111,-0.3195611204,0.1629697847,-0.4237424867,-0.3309986949,0.5645324597,-0.2951740356,-0.2693877148,0.1629697847,-0.4237424867,-0.3309986949,0.02176487922,-0.409110691,-0.08029208181,0.107307918,-0.3983879044,-0.05860136649,-0.1540448136,-0.4014416481,-0.2606431664,0.1254410347,-0.5235297497,0.5436849632,-0.1155999946,-0.3832400223,-0.5826125821,-0.1540448136,-0.4014416481,-0.2606431664,-0.1969607215,-0.492293185,-0.3286307023,-0.4352344062,-0.5453263391,0.1820374413,-0.1352941874,-0.3392028648,-0.4018725565,0.1682624461,-0.4244717483,0.3053772502,0.1297654019,-0.490799076,0.4743670866,-0.1379703081,-0.4104440272,-0.4491471847
29,Male,2,Masha7-Robot,0.6,0.45,0.6,0.6,0.4497727273,0.9444444444,-0.6137279368,-0.6243421467,0.7063384727,0.08330084812,-0.3004298208,-0.07860261547,0.4316058207,-0.3117161033,0.5254801017,-0.0651652513,-0.4105618419,0.07261488842,0.129806648,-0.3931409356,0.2636051995,0.3612712422,-0.3521824666,0.1971316978,0.3877908914,-0.3523173874,0.1424166828,0.3612712422,-0.3521824666,0.1971316978,-0.1139169474,-0.3795184486,-0.4177531357,-0.1614286775,-0.3858270768,-0.5908192768,-0.0698492864,-0.4292272534,-0.2366010032,-0.3939271948,-0.5036261111,-0.4480507706,0.1843086483,-0.3699269515,-0.01961938796,-0.0698492864,-0.4292272534,-0.2366010032,-0.0850231151,-0.3726731641,-0.2540694648,-0.208523485,-0.3438984408,0.5744900895,-0.0001793533973,-0.3678051315,0.2799063357,0.06720028235,-0.3978608325,-0.5320139897,-0.02767803452,-0.6060829485,-0.6763814166,-0.1099687029,-0.4129696994,0.03051581025
